nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
South West,29/02/2020,0,0,0,0,0,0,FALSE
South West,01/03/2020,0,0,0,0,0,0,FALSE
South West,02/03/2020,0,0,0,0,0,0,FALSE
South West,03/03/2020,0,0,0,0,0,0,FALSE
South West,04/03/2020,0,0,0,0,0,0,FALSE
South West,05/03/2020,0,0,0,0,0,0,FALSE
South West,06/03/2020,0,0,0,0,0,0,FALSE
South West,07/03/2020,0,0,0,0,0,0,FALSE
South West,08/03/2020,0,0,0,0,0,0,FALSE
South West,09/03/2020,0,0,0,0,0,0,FALSE
South West,10/03/2020,0,0,0,0,0,0,FALSE
South West,11/03/2020,1,1,0,0,1,1,FALSE
South West,12/03/2020,0,1,0,0,0,1,FALSE
South West,13/03/2020,0,1,0,0,0,1,FALSE
South West,14/03/2020,1,2,0,0,1,2,FALSE
South West,15/03/2020,0,2,0,0,0,2,FALSE
South West,16/03/2020,0,2,0,0,0,2,FALSE
South West,17/03/2020,2,4,0,0,2,4,FALSE
South West,18/03/2020,2,6,0,0,2,6,FALSE
South West,19/03/2020,4,10,0,0,4,10,FALSE
South West,20/03/2020,3,13,0,0,3,13,FALSE
South West,21/03/2020,7,20,0,0,7,20,FALSE
South West,22/03/2020,7,27,0,0,7,27,FALSE
South West,23/03/2020,8,35,0,0,8,35,FALSE
South West,24/03/2020,7,42,0,0,7,42,FALSE
South West,25/03/2020,9,51,0,0,9,51,FALSE
South West,26/03/2020,11,62,0,0,11,62,FALSE
South West,27/03/2020,13,75,0,0,13,75,FALSE
South West,28/03/2020,21,96,0,0,21,96,FALSE
South West,29/03/2020,18,114,0,0,18,114,FALSE
South West,30/03/2020,23,137,0,0,23,137,FALSE
South West,31/03/2020,23,160,0,0,23,160,FALSE
South West,01/04/2020,21,181,0,0,21,181,FALSE
South West,02/04/2020,23,204,0,0,23,204,FALSE
South West,03/04/2020,31,235,0,0,31,235,FALSE
South West,04/04/2020,42,277,0,0,42,277,FALSE
South West,05/04/2020,32,309,0,0,32,309,FALSE
South West,06/04/2020,35,344,0,0,35,344,FALSE
South West,07/04/2020,39,383,0,0,39,383,FALSE
South West,08/04/2020,47,430,0,0,47,430,FALSE
South West,09/04/2020,24,454,0,0,24,454,FALSE
South West,10/04/2020,46,500,0,0,46,500,FALSE
South West,11/04/2020,43,543,0,0,43,543,FALSE
South West,12/04/2020,23,566,0,0,23,566,FALSE
South West,13/04/2020,28,594,0,0,28,594,FALSE
South West,14/04/2020,24,618,0,0,24,618,FALSE
South West,15/04/2020,32,650,0,0,32,650,FALSE
South West,16/04/2020,29,679,0,0,29,679,FALSE
South West,17/04/2020,33,712,0,0,33,712,FALSE
South West,18/04/2020,25,737,0,0,25,737,FALSE
South West,19/04/2020,31,768,0,0,31,768,FALSE
South West,20/04/2020,26,794,0,0,26,794,FALSE
South West,21/04/2020,26,820,0,0,26,820,FALSE
South West,22/04/2020,23,843,0,0,23,843,FALSE
South West,23/04/2020,17,860,0,0,17,860,FALSE
South West,24/04/2020,19,879,2,2,21,881,FALSE
South West,25/04/2020,15,894,1,3,16,897,FALSE
South West,26/04/2020,27,921,0,3,27,924,FALSE
South West,27/04/2020,13,934,4,7,17,941,FALSE
South West,28/04/2020,17,951,1,8,18,959,FALSE
South West,29/04/2020,15,966,0,8,15,974,FALSE
South West,30/04/2020,26,992,2,10,28,1002,FALSE
South West,01/05/2020,6,998,1,11,7,1009,FALSE
South West,02/05/2020,7,1005,0,11,7,1016,FALSE
South West,03/05/2020,10,1015,3,14,13,1029,FALSE
South West,04/05/2020,17,1032,4,18,21,1050,FALSE
South West,05/05/2020,14,1046,5,23,19,1069,FALSE
South West,06/05/2020,19,1065,1,24,20,1089,FALSE
South West,07/05/2020,16,1081,1,25,17,1106,FALSE
South West,08/05/2020,6,1087,2,27,8,1114,FALSE
South West,09/05/2020,11,1098,3,30,14,1128,FALSE
South West,10/05/2020,5,1103,3,33,8,1136,FALSE
South West,11/05/2020,8,1111,2,35,10,1146,FALSE
South West,12/05/2020,7,1118,0,35,7,1153,FALSE
South West,13/05/2020,7,1125,1,36,8,1161,FALSE
South West,14/05/2020,6,1131,2,38,8,1169,FALSE
South West,15/05/2020,4,1135,2,40,6,1175,FALSE
South West,16/05/2020,4,1139,1,41,5,1180,FALSE
South West,17/05/2020,6,1145,4,45,10,1190,FALSE
South West,18/05/2020,4,1149,0,45,4,1194,FALSE
South West,19/05/2020,6,1155,2,47,8,1202,FALSE
South West,20/05/2020,1,1156,1,48,2,1204,FALSE
South West,21/05/2020,9,1165,4,52,13,1217,FALSE
South West,22/05/2020,7,1172,3,55,10,1227,FALSE
South West,23/05/2020,6,1178,1,56,7,1234,FALSE
South West,24/05/2020,3,1181,3,59,6,1240,FALSE
South West,25/05/2020,8,1189,0,59,8,1248,FALSE
South West,26/05/2020,11,1200,0,59,11,1259,FALSE
South West,27/05/2020,5,1205,2,61,7,1266,FALSE
South West,28/05/2020,10,1215,0,61,10,1276,FALSE
South West,29/05/2020,7,1222,0,61,7,1283,FALSE
South West,30/05/2020,3,1225,0,61,3,1286,FALSE
South West,31/05/2020,2,1227,3,64,5,1291,FALSE
South West,01/06/2020,7,1234,1,65,8,1299,FALSE
South West,02/06/2020,2,1236,0,65,2,1301,FALSE
South West,03/06/2020,7,1243,4,69,11,1312,FALSE
South West,04/06/2020,2,1245,1,70,3,1315,FALSE
South West,05/06/2020,2,1247,1,71,3,1318,FALSE
South West,06/06/2020,1,1248,0,71,1,1319,FALSE
South West,07/06/2020,3,1251,0,71,3,1322,FALSE
South West,08/06/2020,3,1254,1,72,4,1326,FALSE
South West,09/06/2020,0,1254,0,72,0,1326,FALSE
South West,10/06/2020,1,1255,0,72,1,1327,FALSE
South West,11/06/2020,2,1257,1,73,3,1330,FALSE
South West,12/06/2020,2,1259,1,74,3,1333,FALSE
South West,13/06/2020,2,1261,1,75,3,1336,FALSE
South West,14/06/2020,0,1261,0,75,0,1336,FALSE
South West,15/06/2020,2,1263,0,75,2,1338,FALSE
South West,16/06/2020,2,1265,3,78,5,1343,FALSE
South West,17/06/2020,0,1265,0,78,0,1343,FALSE
South West,18/06/2020,0,1265,0,78,0,1343,FALSE
South West,19/06/2020,0,1265,1,79,1,1344,FALSE
South West,20/06/2020,2,1267,0,79,2,1346,FALSE
South West,21/06/2020,0,1267,0,79,0,1346,FALSE
South West,22/06/2020,1,1268,0,79,1,1347,FALSE
South West,23/06/2020,1,1269,0,79,1,1348,FALSE
South West,24/06/2020,1,1270,0,79,1,1349,FALSE
South West,25/06/2020,0,1270,0,79,0,1349,FALSE
South West,26/06/2020,3,1273,0,79,3,1352,FALSE
South West,27/06/2020,0,1273,0,79,0,1352,FALSE
South West,28/06/2020,0,1273,0,79,0,1352,FALSE
South West,29/06/2020,1,1274,0,79,1,1353,FALSE
South West,30/06/2020,0,1274,1,80,1,1354,FALSE
South West,01/07/2020,0,1274,0,80,0,1354,FALSE
South West,02/07/2020,0,1274,0,80,0,1354,FALSE
South West,03/07/2020,0,1274,0,80,0,1354,FALSE
South West,04/07/2020,0,1274,1,81,1,1355,FALSE
South West,05/07/2020,1,1275,0,81,1,1356,FALSE
South West,06/07/2020,0,1275,1,82,1,1357,FALSE
South West,07/07/2020,0,1275,1,83,1,1358,FALSE
South West,08/07/2020,2,1277,0,83,2,1360,FALSE
South West,09/07/2020,0,1277,0,83,0,1360,FALSE
South West,10/07/2020,1,1278,0,83,1,1361,FALSE
South West,11/07/2020,0,1278,0,83,0,1361,FALSE
South West,12/07/2020,0,1278,0,83,0,1361,FALSE
South West,13/07/2020,1,1279,0,83,1,1362,FALSE
South West,14/07/2020,0,1279,0,83,0,1362,FALSE
South West,15/07/2020,0,1279,0,83,0,1362,FALSE
South West,16/07/2020,0,1279,1,84,1,1363,FALSE
South West,17/07/2020,1,1280,0,84,1,1364,FALSE
South West,18/07/2020,0,1280,0,84,0,1364,FALSE
South West,19/07/2020,0,1280,0,84,0,1364,FALSE
South West,20/07/2020,0,1280,1,85,1,1365,FALSE
South West,21/07/2020,0,1280,0,85,0,1365,FALSE
South West,22/07/2020,0,1280,0,85,0,1365,FALSE
South West,23/07/2020,0,1280,0,85,0,1365,FALSE
South West,24/07/2020,0,1280,0,85,0,1365,FALSE
South West,25/07/2020,0,1280,0,85,0,1365,FALSE
South West,26/07/2020,0,1280,0,85,0,1365,FALSE
South West,27/07/2020,0,1280,0,85,0,1365,FALSE
South West,28/07/2020,0,1280,0,85,0,1365,FALSE
South West,29/07/2020,0,1280,0,85,0,1365,FALSE
South West,30/07/2020,1,1281,0,85,1,1366,FALSE
South West,31/07/2020,0,1281,0,85,0,1366,FALSE
South West,01/08/2020,0,1281,0,85,0,1366,FALSE
South West,02/08/2020,0,1281,0,85,0,1366,FALSE
South West,03/08/2020,0,1281,0,85,0,1366,FALSE
South West,04/08/2020,0,1281,0,85,0,1366,FALSE
South West,05/08/2020,0,1281,0,85,0,1366,FALSE
South West,06/08/2020,0,1281,0,85,0,1366,FALSE
South West,07/08/2020,0,1281,0,85,0,1366,FALSE
South West,08/08/2020,0,1281,0,85,0,1366,FALSE
South West,09/08/2020,0,1281,0,85,0,1366,FALSE
South West,10/08/2020,0,1281,0,85,0,1366,FALSE
South West,11/08/2020,0,1281,0,85,0,1366,FALSE
South West,12/08/2020,0,1281,0,85,0,1366,FALSE
South West,13/08/2020,0,1281,0,85,0,1366,FALSE
South West,14/08/2020,1,1282,0,85,1,1367,FALSE
South West,15/08/2020,0,1282,0,85,0,1367,FALSE
South West,16/08/2020,0,1282,0,85,0,1367,FALSE
South West,17/08/2020,2,1284,0,85,2,1369,FALSE
South West,18/08/2020,0,1284,0,85,0,1369,FALSE
South West,19/08/2020,0,1284,0,85,0,1369,FALSE
South West,20/08/2020,0,1284,1,86,1,1370,FALSE
South West,21/08/2020,0,1284,0,86,0,1370,FALSE
South West,22/08/2020,0,1284,0,86,0,1370,FALSE
South West,23/08/2020,0,1284,0,86,0,1370,FALSE
South West,24/08/2020,0,1284,0,86,0,1370,FALSE
South West,25/08/2020,1,1285,0,86,1,1371,FALSE
South West,26/08/2020,0,1285,0,86,0,1371,FALSE
South West,27/08/2020,1,1286,0,86,1,1372,FALSE
South West,28/08/2020,0,1286,1,87,1,1373,FALSE
South West,29/08/2020,0,1286,0,87,0,1373,FALSE
South West,30/08/2020,0,1286,0,87,0,1373,FALSE
South West,31/08/2020,0,1286,0,87,0,1373,FALSE
South West,01/09/2020,0,1286,0,87,0,1373,FALSE
South West,02/09/2020,0,1286,0,87,0,1373,FALSE
South West,03/09/2020,0,1286,1,88,1,1374,FALSE
South West,04/09/2020,0,1286,0,88,0,1374,FALSE
South West,05/09/2020,0,1286,0,88,0,1374,FALSE
South West,06/09/2020,0,1286,0,88,0,1374,FALSE
South West,07/09/2020,0,1286,0,88,0,1374,FALSE
South West,08/09/2020,1,1287,0,88,1,1375,FALSE
South West,09/09/2020,0,1287,0,88,0,1375,FALSE
South West,10/09/2020,0,1287,0,88,0,1375,FALSE
South West,11/09/2020,0,1287,0,88,0,1375,FALSE
South West,12/09/2020,0,1287,0,88,0,1375,FALSE
South West,13/09/2020,1,1288,0,88,1,1376,FALSE
South West,14/09/2020,0,1288,0,88,0,1376,FALSE
South West,15/09/2020,0,1288,1,89,1,1377,FALSE
South West,16/09/2020,0,1288,0,89,0,1377,FALSE
South West,17/09/2020,1,1289,0,89,1,1378,FALSE
South West,18/09/2020,0,1289,1,90,1,1379,FALSE
South West,19/09/2020,0,1289,0,90,0,1379,FALSE
South West,20/09/2020,1,1290,0,90,1,1380,FALSE
South West,21/09/2020,0,1290,0,90,0,1380,FALSE
South West,22/09/2020,0,1290,0,90,0,1380,FALSE
South West,23/09/2020,0,1290,0,90,0,1380,FALSE
South West,24/09/2020,1,1291,1,91,2,1382,FALSE
South West,25/09/2020,0,1291,0,91,0,1382,FALSE
South West,26/09/2020,0,1291,0,91,0,1382,FALSE
South West,27/09/2020,0,1291,0,91,0,1382,FALSE
South West,28/09/2020,0,1291,0,91,0,1382,FALSE
South West,29/09/2020,0,1291,0,91,0,1382,FALSE
South West,30/09/2020,0,1291,0,91,0,1382,FALSE
South West,01/10/2020,0,1291,0,91,0,1382,FALSE
South West,02/10/2020,1,1292,0,91,1,1383,FALSE
South West,03/10/2020,0,1292,0,91,0,1383,FALSE
South West,04/10/2020,0,1292,0,91,0,1383,FALSE
South West,05/10/2020,0,1292,0,91,0,1383,FALSE
South West,06/10/2020,1,1293,0,91,1,1384,FALSE
South West,07/10/2020,0,1293,0,91,0,1384,FALSE
South West,08/10/2020,1,1294,0,91,1,1385,FALSE
South West,09/10/2020,1,1295,0,91,1,1386,FALSE
South West,10/10/2020,0,1295,0,91,0,1386,FALSE
South West,11/10/2020,4,1299,0,91,4,1390,FALSE
South West,12/10/2020,2,1301,0,91,2,1392,FALSE
South West,13/10/2020,0,1301,0,91,0,1392,FALSE
